date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-07-08,2266.0,2266.0,2266.0,2266.0,,0,,,,,Cocoa,CC=F
2021-07-09,2318.0,2318.0,2318.0,2318.0,,0,,,,,Cocoa,CC=F
2021-07-12,2601.0,2601.0,2601.0,2401.0,,2,,,,,Cocoa,CC=F
2021-07-13,2370.0,2370.0,2370.0,2370.0,,0,,,,,Cocoa,CC=F
2021-07-14,2373.0,2373.0,2373.0,2373.0,,0,,,,,Cocoa,CC=F
2021-07-15,2340.0,2340.0,2340.0,2340.0,,12612,,,,,Cocoa,CC=F
2021-07-16,2375.0,2391.0,2304.0,2320.0,,18751,,,,,Cocoa,CC=F
2021-07-19,2300.0,2303.0,2236.0,2239.0,,26442,,,,,Cocoa,CC=F
2021-07-20,2246.0,2260.0,2232.0,2257.0,,17429,,,,,Cocoa,CC=F
2021-07-21,2257.0,2285.0,2249.0,2265.0,,14155,,,,,Cocoa,CC=F
2021-07-22,2265.0,2325.0,2256.0,2317.0,,19284,,,,,Cocoa,CC=F
2021-07-23,2313.0,2336.0,2299.0,2321.0,,15070,,,,,Cocoa,CC=F
2021-07-26,2327.0,2417.0,2327.0,2392.0,,33453,,,,,Cocoa,CC=F
2021-07-27,2384.0,2407.0,2373.0,2393.0,,17661,,,,,Cocoa,CC=F
2021-07-28,2387.0,2446.0,2376.0,2427.0,,20621,,,,,Cocoa,CC=F
2021-07-29,2434.0,2455.0,2406.0,2435.0,,19378,,,,,Cocoa,CC=F
2021-07-30,2410.0,2416.0,2356.0,2366.0,,27086,,,,,Cocoa,CC=F
2021-08-02,2359.0,2368.0,2333.0,2363.0,,21280,,,,,Cocoa,CC=F
2021-08-03,2371.0,2433.0,2361.0,2426.0,,31834,,,,,Cocoa,CC=F
2021-08-04,2435.0,2462.0,2387.0,2393.0,,27184,,,2349.1,,Cocoa,CC=F
2021-08-05,2392.0,2431.0,2388.0,2405.0,,18523,,,2356.05,,Cocoa,CC=F
2021-08-06,2404.0,2423.0,2391.0,2417.0,,24585,,,2361.0,,Cocoa,CC=F
2021-08-09,2416.0,2428.0,2399.0,2411.0,,28106,,,2361.5,,Cocoa,CC=F
2021-08-10,2412.0,2474.0,2404.0,2468.0,,20041,,,2366.4,,Cocoa,CC=F
