date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-07-19,570.0,571.5,548.75,556.0,,67343,,,,,Corn,ZC=F
2021-07-20,558.0,576.25,557.25,571.75,,77004,,,,,Corn,ZC=F
2021-07-21,572.0,579.0,567.75,571.75,,78998,,,,,Corn,ZC=F
2021-07-22,571.5,571.75,555.0,564.5,,81023,,,,,Corn,ZC=F
2021-07-23,564.75,569.25,544.5,547.25,,81447,,,,,Corn,ZC=F
2021-07-26,549.25,551.25,536.75,549.75,,72948,,,,,Corn,ZC=F
2021-07-27,554.0,564.0,544.25,548.75,,67236,,,,,Corn,ZC=F
2021-07-28,554.0,554.25,545.0,549.25,,62378,,,,,Corn,ZC=F
2021-07-29,549.25,559.0,546.5,558.0,,71556,,,,,Corn,ZC=F
2021-07-30,557.0,557.75,546.5,547.0,,65198,,,,,Corn,ZC=F
2021-08-02,547.25,559.25,540.25,558.75,,83836,,,,,Corn,ZC=F
2021-08-03,555.75,563.5,546.75,550.5,,95208,,,,,Corn,ZC=F
2021-08-04,550.5,555.25,540.25,545.75,,70049,,,,,Corn,ZC=F
2021-08-05,546.75,560.75,545.75,555.75,,92967,,,,,Corn,ZC=F
2021-08-06,555.0,560.5,548.75,555.0,,142762,,,,,Corn,ZC=F
2021-08-09,554.0,556.0,547.0,550.25,,144339,,,,,Corn,ZC=F
2021-08-10,548.5,550.25,544.0,549.25,,143634,,,,,Corn,ZC=F
2021-08-11,548.75,558.5,548.25,556.25,,184260,,,,,Corn,ZC=F
2021-08-12,554.75,589.5,548.5,567.0,,247372,,,,,Corn,ZC=F
2021-08-13,566.75,575.0,559.0,568.25,,97466,,,556.0375,,Corn,ZC=F
2021-08-16,568.25,572.0,561.0,564.75,,60693,,,556.475,,Corn,ZC=F
2021-08-17,567.5,569.5,556.25,558.25,,67739,,,555.8,,Corn,ZC=F
2021-08-18,559.0,563.5,556.5,561.75,,64048,,,555.3,,Corn,ZC=F
2021-08-19,560.5,560.5,546.75,550.0,,90493,,,554.575,,Corn,ZC=F
2021-08-20,550.25,554.25,533.25,538.75,,83003,,,554.15,,Corn,ZC=F
2021-08-23,536.0,544.25,531.5,538.0,,50271,,,553.5625,,Corn,ZC=F
2021-08-24,539.5,546.5,537.0,544.5,,82653,,,553.35,,Corn,ZC=F
2021-08-25,544.5,555.0,541.25,551.25,,80083,,,553.45,,Corn,ZC=F
2021-08-26,550.0,555.75,548.0,552.75,,73859,,,553.1875,,Corn,ZC=F
2021-08-27,553.0,558.75,548.75,558.0,,107357,,,553.7375,,Corn,ZC=F
2021-08-30,557.25,560.0,531.5,540.25,,73569,,,552.8125,,Corn,ZC=F
2021-08-31,540.0,542.0,524.0,534.0,,8135,,,551.9875,,Corn,ZC=F
2021-09-01,534.0,535.0,514.25,515.5,,5192,,,550.475,,Corn,ZC=F
2021-09-02,515.5,521.0,510.0,516.25,,1319,,,548.5,,Corn,ZC=F
2021-09-03,516.75,518.25,506.75,508.0,,967,,,546.15,,Corn,ZC=F
2021-09-07,509.0,509.0,495.75,495.75,,734,,,543.425,,Corn,ZC=F
2021-09-08,497.5,504.0,495.0,498.25,,451,,,540.875,,Corn,ZC=F
2021-09-09,498.5,500.0,494.5,496.0,,164,,,537.8625,,Corn,ZC=F
2021-09-10,499.0,505.0,487.75,502.75,,370,,,534.65,,Corn,ZC=F
2021-09-13,503.5,503.5,493.0,496.75,,313,,,531.075,,Corn,ZC=F
2021-09-14,497.0,503.0,497.0,503.0,,114271,,,527.9875,,Corn,ZC=F
2021-09-15,520.75,534.5,520.5,533.5,,152827,,,526.75,,Corn,ZC=F
2021-09-16,533.5,537.5,528.0,529.5,,118905,,,525.1375,,Corn,ZC=F
2021-09-17,529.0,530.5,521.75,527.25,,109533,,,524.0,,Corn,ZC=F
2021-09-20,527.0,527.0,515.25,521.75,,125356,,,523.15,,Corn,ZC=F
2021-09-21,522.0,522.75,512.75,517.0,,119145,,,522.1,,Corn,ZC=F
2021-09-22,517.0,526.25,516.0,525.5,,112326,,,521.15,,Corn,ZC=F
2021-09-23,524.5,531.0,520.25,529.25,,95990,,,520.05,,Corn,ZC=F
2021-09-24,528.5,528.75,524.0,526.75,,93098,,,518.75,,Corn,ZC=F
2021-09-27,524.75,540.0,524.0,539.5,,144946,,,517.825,539.905,Corn,ZC=F
2021-09-28,538.75,541.75,532.0,532.5,,125830,,,517.4375,539.435,Corn,ZC=F
2021-09-29,533.5,541.0,533.5,539.0,,107220,,,517.6875,538.78,Corn,ZC=F
2021-09-30,539.0,548.5,527.25,536.75,,222135,,,518.75,538.08,Corn,ZC=F
2021-10-01,536.75,545.25,532.0,541.5,,135599,,,520.0125,537.62,Corn,ZC=F
2021-10-04,540.0,547.5,536.0,540.75,,132923,,,521.65,537.49,Corn,ZC=F
2021-10-05,540.0,543.0,535.25,537.5,,119598,,,523.7375,537.245,Corn,ZC=F
2021-10-06,537.0,544.75,531.5,532.25,,126943,,,525.4375,536.915,Corn,ZC=F
2021-10-07,532.75,535.25,527.5,534.0,,104997,,,527.3375,536.61,Corn,ZC=F
2021-10-08,533.25,538.75,530.0,530.5,,95481,,,528.725,536.06,Corn,ZC=F
2021-10-11,530.0,534.0,528.75,533.0,,104166,,,530.5375,535.78,Corn,ZC=F
2021-10-12,532.75,533.0,519.25,522.5,,196596,,,531.5125,535.055,Corn,ZC=F
2021-10-13,523.0,525.25,506.75,512.25,,203330,,,530.45,534.29,Corn,ZC=F
2021-10-14,512.25,518.25,511.0,516.75,,140335,,,529.8125,533.71,Corn,ZC=F
2021-10-15,516.25,528.5,514.25,525.75,,130243,,,529.7375,533.11,Corn,ZC=F
2021-10-18,525.75,533.75,523.0,532.75,,119583,,,530.2875,532.665,Corn,ZC=F
2021-10-19,532.0,537.0,529.5,530.25,,119081,,,530.95,532.265,Corn,ZC=F
2021-10-20,530.0,540.0,528.5,539.25,,129884,,,531.6375,532.065,Corn,ZC=F
2021-10-21,539.0,540.0,530.75,532.25,,119388,,,531.7875,531.585,Corn,ZC=F
2021-10-22,533.0,540.0,532.0,538.0,,109345,,,532.35,531.005,Corn,ZC=F
2021-10-25,537.0,542.0,535.0,538.0,,107050,,,532.275,530.4,Corn,ZC=F
2021-10-26,538.0,547.25,533.0,543.5,,146995,,,532.825,529.975,Corn,ZC=F
2021-10-27,542.5,563.25,539.5,557.25,,241141,,,533.7375,529.955,Corn,ZC=F
2021-10-28,556.5,568.75,554.0,562.75,,164258,,,535.0375,529.975,Corn,ZC=F
2021-10-29,562.5,569.25,558.75,568.25,,135195,,,536.375,530.34,Corn,ZC=F
2021-11-01,568.0,582.0,565.25,579.0,,197409,,,538.2875,531.145,Corn,ZC=F
2021-11-02,578.25,586.0,572.0,573.0,,174067,,,540.0625,531.845,Corn,ZC=F
2021-11-03,572.0,573.25,563.0,564.0,,149892,,,541.65,532.235,Corn,ZC=F
2021-11-04,563.75,569.75,556.5,559.25,,149483,,,542.9125,532.395,Corn,ZC=F
2021-11-05,560.0,562.75,552.25,553.0,,192123,,,544.0375,532.4,Corn,ZC=F
2021-11-08,552.0,554.75,549.5,551.5,,166976,,,544.9625,532.27,Corn,ZC=F
2021-11-09,551.0,564.0,547.75,554.75,,246899,,,546.575,532.56,Corn,ZC=F
2021-11-10,555.5,571.75,555.0,569.25,,209267,,,549.425,533.265,Corn,ZC=F
2021-11-11,567.75,579.0,566.0,569.5,,264523,,,552.0625,534.345,Corn,ZC=F
2021-11-12,569.25,582.0,566.75,577.25,,163539,,,554.6375,535.565,Corn,ZC=F
2021-11-15,576.25,578.75,569.75,576.5,,128056,,,556.825,536.935,Corn,ZC=F
2021-11-16,576.0,577.5,570.0,571.0,,137344,,,558.8625,538.44,Corn,ZC=F
2021-11-17,570.75,584.0,570.0,575.25,,185381,,,560.6625,539.98,Corn,ZC=F
2021-11-18,575.0,583.0,572.0,573.0,,171416,,,562.7,541.52,Corn,ZC=F
2021-11-19,573.0,576.0,568.0,570.75,,130524,,,564.3375,542.88,Corn,ZC=F
2021-11-22,570.5,579.0,569.75,576.75,,172298,,,566.275,544.48,Corn,ZC=F
2021-11-23,576.25,581.0,572.5,580.5,,179297,,,568.125,546.03,Corn,ZC=F
2021-11-24,580.25,589.0,575.5,579.75,,265928,,,569.25,546.955,Corn,ZC=F
2021-11-26,571.5,588.0,566.75,586.75,,180220,,,570.45,548.1,Corn,ZC=F
2021-11-29,586.0,588.25,576.5,581.0,,158234,,,571.0875,549.175,Corn,ZC=F
2021-11-30,581.0,582.0,562.0,567.0,,24986,,,570.4875,550.08,Corn,ZC=F
2021-12-01,568.0,576.0,567.0,572.0,,6270,,,570.4375,551.18,Corn,ZC=F
2021-12-02,571.25,583.0,570.0,577.0,,6237,,,571.0875,552.21,Corn,ZC=F
2021-12-03,576.25,588.75,576.25,586.0,,3442,,,572.425,553.345,Corn,ZC=F
2021-12-06,586.0,586.0,578.0,583.5,,2208,,,573.95,554.48,Corn,ZC=F
2021-12-07,584.0,589.5,579.5,586.25,,1887,,,575.6875,555.415,Corn,ZC=F
2021-12-08,585.0,589.0,584.0,584.75,,2372,,,577.1875,556.46,Corn,ZC=F
2021-12-09,585.75,591.25,576.75,588.5,,2082,,,578.15,557.45,Corn,ZC=F
2021-12-10,588.5,592.0,585.0,588.5,,862,,,579.1,558.485,Corn,ZC=F
2021-12-13,587.5,588.0,580.75,584.25,,927,,,579.45,559.34,Corn,ZC=F
2021-12-14,583.25,591.0,576.75,588.75,,117292,,,580.0625,560.3,Corn,ZC=F
2021-12-15,590.0,596.5,582.0,585.75,,138521,,,580.8,561.265,Corn,ZC=F
2021-12-16,587.5,592.0,584.5,591.25,,101262,,,581.6,562.445,Corn,ZC=F
2021-12-17,591.0,598.75,589.25,593.25,,129569,,,582.6125,563.63,Corn,ZC=F
2021-12-20,595.0,595.75,587.0,591.0,,106042,,,583.625,564.84,Corn,ZC=F
2021-12-21,591.0,599.0,589.5,598.25,,119312,,,584.7,566.145,Corn,ZC=F
2021-12-22,597.5,606.75,597.0,602.5,,154966,,,585.8,567.745,Corn,ZC=F
2021-12-23,601.5,607.0,600.5,605.75,,108565,,,587.1,569.615,Corn,ZC=F
2021-12-27,608.25,615.5,607.0,614.75,,123211,,,588.5,571.575,Corn,ZC=F
2021-12-28,614.25,617.75,603.75,604.75,,134208,,,589.6875,573.155,Corn,ZC=F
2021-12-29,604.0,610.75,599.5,605.5,,117570,,,591.6125,574.61,Corn,ZC=F
2021-12-30,605.5,606.0,592.75,596.0,,122776,,,592.8125,575.925,Corn,ZC=F
2021-12-31,595.75,599.25,592.5,593.25,,69868,,,593.625,577.005,Corn,ZC=F
2022-01-03,599.0,603.5,584.75,589.25,,146023,,,593.7875,578.145,Corn,ZC=F
2022-01-04,591.75,611.25,591.5,609.5,,210268,,,595.0875,579.575,Corn,ZC=F
2022-01-05,608.5,609.75,601.25,602.25,,148499,,,595.8875,580.86,Corn,ZC=F
2022-01-06,601.25,605.75,596.0,603.75,,151442,,,596.8375,582.065,Corn,ZC=F
2022-01-07,605.25,608.25,599.0,606.75,,140371,,,597.75,583.055,Corn,ZC=F
2022-01-10,605.25,608.0,596.25,599.75,,135265,,,598.3125,583.795,Corn,ZC=F
2022-01-11,599.75,604.75,598.0,601.0,,128305,,,599.15,584.45,Corn,ZC=F
2022-01-12,601.0,604.0,591.0,599.0,,181633,,,599.6625,584.85,Corn,ZC=F
2022-01-13,599.0,599.75,585.25,587.5,,186546,,,599.75,585.14,Corn,ZC=F
2022-01-14,587.5,598.25,585.25,596.25,,140634,,,600.0,585.785,Corn,ZC=F
2022-01-18,592.75,600.75,588.25,599.5,,141742,,,600.3125,586.59,Corn,ZC=F
2022-01-19,600.0,614.5,600.0,610.5,,179943,,,601.2875,587.74,Corn,ZC=F
2022-01-20,609.0,614.25,606.25,611.0,,127683,,,601.925,588.93,Corn,ZC=F
2022-01-21,607.5,618.5,604.25,616.25,,187471,,,602.6125,590.16,Corn,ZC=F
2022-01-24,617.5,621.5,609.25,621.0,,194809,,,603.375,591.195,Corn,ZC=F
2022-01-25,620.0,631.0,618.5,620.0,,298396,,,603.6375,592.205,Corn,ZC=F
2022-01-26,619.0,627.75,615.0,627.0,,172723,,,604.75,593.2,Corn,ZC=F
2022-01-27,625.0,627.75,621.25,625.25,,151696,,,605.7375,594.175,Corn,ZC=F
2022-01-28,623.25,637.25,623.0,636.0,,188658,,,607.7375,595.475,Corn,ZC=F
2022-01-31,635.75,642.5,622.5,626.0,,243891,,,609.375,596.49,Corn,ZC=F
2022-02-01,626.0,639.5,624.5,634.75,,196298,,,611.65,597.725,Corn,ZC=F
2022-02-02,634.5,640.75,616.75,622.5,,275662,,,612.3,598.76,Corn,ZC=F
2022-02-03,622.5,624.25,610.25,616.75,,215871,,,613.025,599.56,Corn,ZC=F
2022-02-04,618.5,623.25,613.25,620.5,,181430,,,613.8625,600.36,Corn,ZC=F
2022-02-07,628.75,636.75,624.75,635.25,,232607,,,615.2875,601.47,Corn,ZC=F
2022-02-08,636.5,636.75,627.25,632.25,,200583,,,616.9125,602.38,Corn,ZC=F
2022-02-09,632.25,647.75,630.5,646.75,,320406,,,619.2,603.695,Corn,ZC=F
2022-02-10,646.0,662.75,638.75,641.75,,372991,,,621.3375,605.19,Corn,ZC=F
2022-02-11,641.0,657.75,637.75,651.0,,243969,,,624.5125,606.77,Corn,ZC=F
2022-02-14,651.25,656.75,642.5,655.75,,144923,,,627.4875,608.345,Corn,ZC=F
2022-02-15,655.0,655.5,635.5,638.0,,177958,,,629.4125,609.385,Corn,ZC=F
2022-02-16,637.75,647.75,636.25,647.0,,126554,,,631.2375,610.655,Corn,ZC=F
2022-02-17,645.5,652.0,642.75,650.0,,121279,,,633.1875,611.93,Corn,ZC=F
2022-02-18,648.5,658.0,647.0,654.25,,154047,,,635.0875,613.32,Corn,ZC=F
2022-02-22,657.75,676.75,657.75,674.75,,168824,,,637.775,615.045,Corn,ZC=F
2022-02-23,674.0,685.0,669.25,683.75,,154730,,,640.9625,616.95,Corn,ZC=F
2022-02-24,683.5,718.75,682.0,695.0,,161611,,,644.3625,619.165,Corn,ZC=F
2022-02-25,696.75,707.0,657.0,659.5,,94802,,,646.075,620.58,Corn,ZC=F
2022-02-28,688.0,704.75,679.0,697.5,,15651,,,649.15,622.815,Corn,ZC=F
2022-03-01,699.75,744.25,699.75,739.75,,7258,,,654.8375,625.785,Corn,ZC=F
2022-03-02,741.75,760.0,723.0,739.0,,3350,,,660.05,628.7,Corn,ZC=F
