date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-06-21,1208.0,1215.0,1118.5,1121.0,,568113,,,,,Iron Ore,I0
2021-06-22,1121.0,1149.5,1109.5,1139.0,,470617,,,,,Iron Ore,I0
2021-06-23,1142.0,1181.5,1130.0,1173.0,,428911,,,,,Iron Ore,I0
2021-06-24,1179.0,1194.0,1141.0,1164.5,,416019,,,,,Iron Ore,I0
2021-06-25,1160.0,1190.0,1148.5,1185.0,,374808,,,,,Iron Ore,I0
2021-06-28,1190.0,1209.5,1157.5,1196.0,,412401,,,,,Iron Ore,I0
2021-06-29,1199.5,1200.5,1144.0,1153.0,,399662,,,,,Iron Ore,I0
2021-06-30,1150.0,1171.5,1135.0,1165.0,,407096,,,,,Iron Ore,I0
2021-07-01,1171.0,1191.0,1155.0,1166.0,,357539,,,,,Iron Ore,I0
2021-07-02,1161.5,1190.0,1143.0,1182.5,,430621,,,,,Iron Ore,I0
2021-07-05,1178.0,1226.0,1171.0,1225.0,,380275,,,,,Iron Ore,I0
2021-07-06,1228.0,1241.5,1220.0,1231.0,,284004,,,,,Iron Ore,I0
2021-07-07,1230.0,1247.5,1206.0,1244.0,,407681,,,,,Iron Ore,I0
2021-07-08,1248.0,1252.0,1179.5,1187.5,,512334,,,,,Iron Ore,I0
2021-07-09,1176.0,1187.5,1151.5,1163.0,,448758,,,,,Iron Ore,I0
2021-07-12,1177.0,1213.0,1165.5,1188.5,,442025,,,,,Iron Ore,I0
2021-07-13,1188.0,1231.5,1182.0,1225.0,,373378,,,,,Iron Ore,I0
2021-07-14,1215.0,1223.0,1201.0,1219.5,,294944,,,,,Iron Ore,I0
2021-07-15,1208.0,1240.0,1196.0,1234.0,,359886,,,,,Iron Ore,I0
2021-07-16,1234.0,1265.5,1224.5,1241.0,,380962,,,1190.175,,Iron Ore,I0
2021-07-19,1238.0,1248.0,1209.0,1225.0,,324899,,,1195.375,,Iron Ore,I0
2021-07-20,1212.0,1241.0,1202.0,1233.0,,286621,,,1200.075,,Iron Ore,I0
