date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-05-21,127770.0,128300.0,124210.0,124270.0,,401965,,,,,Nickel,NI0
2021-05-24,125930.0,126330.0,122570.0,123970.0,,321387,,,,,Nickel,NI0
2021-05-25,123880.0,126510.0,123810.0,125220.0,,396502,,,,,Nickel,NI0
2021-05-26,125220.0,126980.0,124540.0,125420.0,,480823,,,,,Nickel,NI0
2021-05-27,125530.0,127470.0,124800.0,126420.0,,580112,,,,,Nickel,NI0
2021-05-28,126880.0,133180.0,126540.0,132310.0,,859644,,,,,Nickel,NI0
2021-05-31,131380.0,133530.0,130830.0,132890.0,,697577,,,,,Nickel,NI0
2021-06-01,132390.0,134990.0,131680.0,134920.0,,669594,,,,,Nickel,NI0
2021-06-02,133810.0,134480.0,131720.0,133590.0,,596642,,,,,Nickel,NI0
2021-06-03,133410.0,135800.0,132760.0,133140.0,,721528,,,,,Nickel,NI0
2021-06-04,131800.0,132270.0,130140.0,131350.0,,516650,,,,,Nickel,NI0
2021-06-07,132120.0,133280.0,129410.0,129530.0,,437893,,,,,Nickel,NI0
2021-06-08,129600.0,131990.0,129210.0,130080.0,,415027,,,,,Nickel,NI0
2021-06-09,130000.0,133390.0,129840.0,132800.0,,481960,,,,,Nickel,NI0
2021-06-10,132990.0,133520.0,130540.0,131110.0,,502026,,,,,Nickel,NI0
2021-06-11,131300.0,135360.0,131110.0,135350.0,,518317,,,,,Nickel,NI0
2021-06-15,135650.0,136260.0,131370.0,132500.0,,281241,,,,,Nickel,NI0
2021-06-16,131790.0,132970.0,127800.0,128260.0,,499557,,,,,Nickel,NI0
2021-06-17,128300.0,129730.0,126530.0,127720.0,,498108,,,,,Nickel,NI0
2021-06-18,127380.0,129360.0,126300.0,128300.0,,569027,,,129957.5,,Nickel,NI0
2021-06-21,127910.0,129870.0,126840.0,128900.0,,464024,,,130189.0,,Nickel,NI0
2021-06-22,128900.0,132780.0,127760.0,132750.0,,478067,,,130628.0,,Nickel,NI0
2021-06-23,132750.0,134280.0,132080.0,133700.0,,409854,,,131052.0,,Nickel,NI0
2021-06-24,134130.0,136190.0,133610.0,134820.0,,457816,,,131522.0,,Nickel,NI0
2021-06-25,135460.0,139070.0,135280.0,137570.0,,485413,,,132079.5,,Nickel,NI0
2021-06-28,138000.0,138750.0,136530.0,137580.0,,390362,,,132343.0,,Nickel,NI0
2021-06-29,136810.0,137420.0,134520.0,135560.0,,239195,,,132476.5,,Nickel,NI0
2021-06-30,135980.0,138120.0,135200.0,138060.0,,424105,,,132633.5,,Nickel,NI0
2021-07-01,137300.0,137590.0,133840.0,134090.0,,459832,,,132658.5,,Nickel,NI0
2021-07-02,134500.0,136100.0,133550.0,134000.0,,447388,,,132701.5,,Nickel,NI0
2021-07-05,135360.0,137680.0,135160.0,136900.0,,491688,,,132979.0,,Nickel,NI0
2021-07-06,136600.0,138790.0,135960.0,138020.0,,432700,,,133403.5,,Nickel,NI0
2021-07-07,138010.0,138010.0,133160.0,135480.0,,551253,,,133673.5,,Nickel,NI0
2021-07-08,135480.0,137490.0,135340.0,137050.0,,496732,,,133886.0,,Nickel,NI0
2021-07-09,136550.0,140300.0,135840.0,139910.0,,589026,,,134326.0,,Nickel,NI0
2021-07-12,140300.0,141110.0,137880.0,139090.0,,447376,,,134513.0,,Nickel,NI0
