date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-05-24,2925.0,2948.0,2873.0,2939.0,,944198,,,,,ZCE Rapeseed Meal,RM0
2021-05-25,2947.0,2954.0,2922.0,2938.0,,815152,,,,,ZCE Rapeseed Meal,RM0
2021-05-26,2922.0,2946.0,2893.0,2931.0,,816740,,,,,ZCE Rapeseed Meal,RM0
2021-05-27,2921.0,2947.0,2886.0,2894.0,,952125,,,,,ZCE Rapeseed Meal,RM0
2021-05-28,2911.0,2992.0,2906.0,2963.0,,877582,,,,,ZCE Rapeseed Meal,RM0
2021-05-31,2950.0,2983.0,2942.0,2943.0,,674455,,,,,ZCE Rapeseed Meal,RM0
2021-06-01,2941.0,2995.0,2941.0,2960.0,,681820,,,,,ZCE Rapeseed Meal,RM0
2021-06-02,2980.0,3008.0,2973.0,2996.0,,767156,,,,,ZCE Rapeseed Meal,RM0
2021-06-03,2996.0,3026.0,2965.0,3025.0,,1020279,,,,,ZCE Rapeseed Meal,RM0
2021-06-04,3021.0,3027.0,2929.0,2935.0,,1046208,,,,,ZCE Rapeseed Meal,RM0
2021-06-07,2943.0,3043.0,2942.0,3036.0,,1142986,,,,,ZCE Rapeseed Meal,RM0
2021-06-08,3059.0,3060.0,3013.0,3047.0,,1051048,,,,,ZCE Rapeseed Meal,RM0
2021-06-09,3050.0,3091.0,3030.0,3044.0,,1160287,,,,,ZCE Rapeseed Meal,RM0
2021-06-10,3037.0,3055.0,3023.0,3047.0,,759803,,,,,ZCE Rapeseed Meal,RM0
2021-06-11,3050.0,3080.0,3027.0,3047.0,,960357,,,,,ZCE Rapeseed Meal,RM0
2021-06-15,2960.0,2985.0,2890.0,2906.0,,938436,,,,,ZCE Rapeseed Meal,RM0
2021-06-16,2925.0,2925.0,2889.0,2891.0,,877151,,,,,ZCE Rapeseed Meal,RM0
2021-06-17,2905.0,2911.0,2826.0,2869.0,,926097,,,,,ZCE Rapeseed Meal,RM0
2021-06-18,2840.0,2860.0,2745.0,2792.0,,1206666,,,,,ZCE Rapeseed Meal,RM0
2021-06-21,2819.0,2838.0,2797.0,2809.0,,845815,,,2950.6,,ZCE Rapeseed Meal,RM0
2021-06-22,2801.0,2846.0,2798.0,2816.0,,686647,,,2944.45,,ZCE Rapeseed Meal,RM0
2021-06-23,2816.0,2837.0,2805.0,2814.0,,812314,,,2938.25,,ZCE Rapeseed Meal,RM0
2021-06-24,2805.0,2843.0,2780.0,2831.0,,980748,,,2933.25,,ZCE Rapeseed Meal,RM0
2021-06-25,2814.0,2843.0,2795.0,2830.0,,861712,,,2930.05,,ZCE Rapeseed Meal,RM0
2021-06-28,2830.0,2897.0,2804.0,2883.0,,1109052,,,2926.05,,ZCE Rapeseed Meal,RM0
2021-06-29,2880.0,2908.0,2872.0,2891.0,,661112,,,2923.45,,ZCE Rapeseed Meal,RM0
2021-06-30,2893.0,2931.0,2881.0,2920.0,,694172,,,2921.45,,ZCE Rapeseed Meal,RM0
2021-07-01,2913.0,3078.0,2897.0,3048.0,,943046,,,2924.05,,ZCE Rapeseed Meal,RM0
2021-07-02,3079.0,3110.0,3064.0,3108.0,,857146,,,2928.2,,ZCE Rapeseed Meal,RM0
2021-07-05,3110.0,3115.0,3053.0,3082.0,,740392,,,2935.55,,ZCE Rapeseed Meal,RM0
