date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-07-05,10325.0,10463.0,10224.0,10311.0,,369137,,,,,ZCE Rapeseed Oil,OI0
2021-07-06,10300.0,10389.0,10275.0,10319.0,,314280,,,,,ZCE Rapeseed Oil,OI0
2021-07-07,10287.0,10287.0,10022.0,10104.0,,491829,,,,,ZCE Rapeseed Oil,OI0
2021-07-08,10058.0,10113.0,9914.0,10030.0,,481627,,,,,ZCE Rapeseed Oil,OI0
2021-07-09,9975.0,10125.0,9882.0,10103.0,,440548,,,,,ZCE Rapeseed Oil,OI0
2021-07-12,10100.0,10249.0,10050.0,10142.0,,374829,,,,,ZCE Rapeseed Oil,OI0
2021-07-13,10107.0,10322.0,10092.0,10305.0,,343131,,,,,ZCE Rapeseed Oil,OI0
2021-07-14,10342.0,10481.0,10296.0,10477.0,,396719,,,,,ZCE Rapeseed Oil,OI0
2021-07-15,10444.0,10625.0,10442.0,10574.0,,408196,,,,,ZCE Rapeseed Oil,OI0
2021-07-16,10615.0,10690.0,10527.0,10585.0,,395221,,,,,ZCE Rapeseed Oil,OI0
2021-07-19,10616.0,10810.0,10615.0,10622.0,,389432,,,,,ZCE Rapeseed Oil,OI0
2021-07-20,10555.0,10775.0,10470.0,10767.0,,443212,,,,,ZCE Rapeseed Oil,OI0
2021-07-21,10759.0,10815.0,10568.0,10632.0,,379991,,,,,ZCE Rapeseed Oil,OI0
2021-07-22,10632.0,10684.0,10375.0,10438.0,,398611,,,,,ZCE Rapeseed Oil,OI0
2021-07-23,10332.0,10522.0,10322.0,10471.0,,413583,,,,,ZCE Rapeseed Oil,OI0
2021-07-26,10486.0,10521.0,10223.0,10337.0,,392973,,,,,ZCE Rapeseed Oil,OI0
2021-07-27,10358.0,10558.0,10302.0,10482.0,,414360,,,,,ZCE Rapeseed Oil,OI0
2021-07-28,10510.0,10619.0,10320.0,10322.0,,471124,,,,,ZCE Rapeseed Oil,OI0
2021-07-29,10332.0,10358.0,10253.0,10295.0,,444330,,,,,ZCE Rapeseed Oil,OI0
2021-07-30,10296.0,10305.0,10064.0,10165.0,,507423,,,10374.05,,ZCE Rapeseed Oil,OI0
2021-08-02,10075.0,10214.0,9959.0,9994.0,,456469,,,10358.2,,ZCE Rapeseed Oil,OI0
2021-08-03,9970.0,10149.0,9934.0,10068.0,,433293,,,10345.65,,ZCE Rapeseed Oil,OI0
2021-08-04,9996.0,10284.0,9986.0,10267.0,,430395,,,10353.8,,ZCE Rapeseed Oil,OI0
2021-08-05,10280.0,10285.0,10170.0,10260.0,,382108,,,10365.3,,ZCE Rapeseed Oil,OI0
2021-08-06,10255.0,10276.0,10109.0,10218.0,,392437,,,10371.05,,ZCE Rapeseed Oil,OI0
2021-08-09,10240.0,10319.0,10092.0,10185.0,,399289,,,10373.2,,ZCE Rapeseed Oil,OI0
2021-08-10,10106.0,10262.0,10055.0,10237.0,,380489,,,10369.8,,ZCE Rapeseed Oil,OI0
2021-08-11,10238.0,10563.0,10204.0,10551.0,,386946,,,10373.5,,ZCE Rapeseed Oil,OI0
2021-08-12,10560.0,10636.0,10519.0,10584.0,,341963,,,10374.0,,ZCE Rapeseed Oil,OI0
2021-08-13,10587.0,10736.0,10526.0,10666.0,,360412,,,10378.05,,ZCE Rapeseed Oil,OI0
2021-08-16,10700.0,10958.0,10680.0,10727.0,,299373,,,10383.3,,ZCE Rapeseed Oil,OI0
2021-08-17,10725.0,10886.0,10700.0,10831.0,,176435,,,10386.5,,ZCE Rapeseed Oil,OI0
2021-08-18,10790.0,10825.0,10661.0,10722.0,,460929,,,10391.0,,ZCE Rapeseed Oil,OI0
2021-08-19,10719.0,10771.0,10576.0,10690.0,,442739,,,10403.6,,ZCE Rapeseed Oil,OI0
2021-08-20,10670.0,10684.0,10469.0,10675.0,,459241,,,10413.8,,ZCE Rapeseed Oil,OI0
2021-08-23,10670.0,10711.0,10445.0,10655.0,,472193,,,10429.7,,ZCE Rapeseed Oil,OI0
2021-08-24,10690.0,10766.0,10562.0,10744.0,,447606,,,10442.8,,ZCE Rapeseed Oil,OI0
2021-08-25,10755.0,10909.0,10725.0,10893.0,,410882,,,10471.35,,ZCE Rapeseed Oil,OI0
2021-08-26,10915.0,11069.0,10823.0,10834.0,,500407,,,10498.3,,ZCE Rapeseed Oil,OI0
2021-08-27,10830.0,10904.0,10708.0,10745.0,,535819,,,10527.3,,ZCE Rapeseed Oil,OI0
2021-08-30,10739.0,10874.0,10666.0,10705.0,,467268,,,10562.85,,ZCE Rapeseed Oil,OI0
2021-08-31,10695.0,10854.0,10665.0,10837.0,,423324,,,10601.3,,ZCE Rapeseed Oil,OI0
2021-09-01,10788.0,10808.0,10626.0,10668.0,,449009,,,10621.35,,ZCE Rapeseed Oil,OI0
2021-09-02,10660.0,10757.0,10565.0,10688.0,,436300,,,10642.75,,ZCE Rapeseed Oil,OI0
2021-09-03,10736.0,10993.0,10692.0,10937.0,,504701,,,10678.7,,ZCE Rapeseed Oil,OI0
2021-09-06,10968.0,10992.0,10810.0,10905.0,,423616,,,10714.7,,ZCE Rapeseed Oil,OI0
2021-09-07,10894.0,10963.0,10835.0,10904.0,,363154,,,10748.05,,ZCE Rapeseed Oil,OI0
2021-09-08,10883.0,10934.0,10756.0,10894.0,,434029,,,10765.2,,ZCE Rapeseed Oil,OI0
2021-09-09,10976.0,10976.0,10728.0,10874.0,,484216,,,10779.7,,ZCE Rapeseed Oil,OI0
2021-09-10,10851.0,10924.0,10661.0,10684.0,,559485,,,10780.6,10522.46,ZCE Rapeseed Oil,OI0
2021-09-13,10677.0,10844.0,10671.0,10701.0,,408622,,,10779.3,10530.26,ZCE Rapeseed Oil,OI0
2021-09-14,10702.0,10758.0,10615.0,10736.0,,421803,,,10774.55,10538.6,ZCE Rapeseed Oil,OI0
2021-09-15,10798.0,10957.0,10706.0,10925.0,,530599,,,10784.7,10555.02,ZCE Rapeseed Oil,OI0
2021-09-16,10925.0,11106.0,10884.0,10951.0,,460993,,,10797.75,10573.44,ZCE Rapeseed Oil,OI0
2021-09-17,10925.0,10975.0,10664.0,10706.0,,465197,,,10799.3,10585.5,ZCE Rapeseed Oil,OI0
2021-09-22,10662.0,10832.0,10638.0,10812.0,,252659,,,10807.15,10598.9,ZCE Rapeseed Oil,OI0
2021-09-23,10816.0,11147.0,10788.0,11146.0,,482869,,,10827.25,10615.72,ZCE Rapeseed Oil,OI0
2021-09-24,11165.0,11179.0,10987.0,11152.0,,434998,,,10840.2,10629.22,ZCE Rapeseed Oil,OI0
2021-09-27,11145.0,11210.0,11022.0,11045.0,,514572,,,10850.75,10638.64,ZCE Rapeseed Oil,OI0
2021-09-28,11045.0,11124.0,10854.0,11070.0,,479916,,,10867.0,10648.34,ZCE Rapeseed Oil,OI0
2021-09-29,11070.0,11132.0,10965.0,11125.0,,317528,,,10888.0,10658.4,ZCE Rapeseed Oil,OI0
2021-09-30,11129.0,11511.0,11087.0,11493.0,,460557,,,10920.8,10672.92,ZCE Rapeseed Oil,OI0
2021-10-08,12000.0,12084.0,11819.0,12026.0,,244869,,,10988.7,10700.8,ZCE Rapeseed Oil,OI0
2021-10-11,12060.0,12483.0,12025.0,12244.0,,489966,,,11066.5,10736.92,ZCE Rapeseed Oil,OI0
2021-10-12,12243.0,12493.0,12112.0,12294.0,,507542,,,11134.35,10773.38,ZCE Rapeseed Oil,OI0
2021-10-13,12266.0,12368.0,11842.0,12332.0,,587344,,,11205.7,10813.28,ZCE Rapeseed Oil,OI0
2021-10-14,12368.0,12426.0,12004.0,12199.0,,525122,,,11270.45,10847.62,ZCE Rapeseed Oil,OI0
2021-10-15,12159.0,12312.0,12085.0,12285.0,,478232,,,11340.0,10886.88,ZCE Rapeseed Oil,OI0
2021-10-18,12302.0,12377.0,12104.0,12321.0,,591055,,,11412.35,10927.4,ZCE Rapeseed Oil,OI0
2021-10-19,12290.0,12500.0,12221.0,12486.0,,614655,,,11502.45,10973.82,ZCE Rapeseed Oil,OI0
2021-10-20,12462.0,12494.0,12215.0,12481.0,,566803,,,11591.45,11023.56,ZCE Rapeseed Oil,OI0
2021-10-21,12530.0,12740.0,12440.0,12460.0,,580601,,,11677.65,11071.4,ZCE Rapeseed Oil,OI0
2021-10-22,12400.0,12473.0,12107.0,12237.0,,623558,,,11743.25,11110.8,ZCE Rapeseed Oil,OI0
2021-10-25,12237.0,12413.0,12146.0,12399.0,,507058,,,11815.65,11153.58,ZCE Rapeseed Oil,OI0
2021-10-26,12405.0,12736.0,12350.0,12668.0,,655943,,,11913.75,11202.58,ZCE Rapeseed Oil,OI0
2021-10-27,12668.0,12795.0,12560.0,12672.0,,749297,,,12006.75,11252.32,ZCE Rapeseed Oil,OI0
2021-10-28,12662.0,12719.0,12343.0,12518.0,,818473,,,12075.35,11297.94,ZCE Rapeseed Oil,OI0
2021-10-29,12520.0,12855.0,12476.0,12820.0,,711922,,,12158.75,11343.32,ZCE Rapeseed Oil,OI0
2021-11-01,12788.0,12824.0,12570.0,12576.0,,635123,,,12235.3,11383.16,ZCE Rapeseed Oil,OI0
2021-11-02,12610.0,12772.0,12475.0,12682.0,,632723,,,12315.9,11423.48,ZCE Rapeseed Oil,OI0
