date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-06-04,1548.25,1587.0,1545.25,1583.75,,80384,,,,,Soybean,ZS=F
2021-06-07,1599.75,1623.5,1558.5,1560.25,,145331,,,,,Soybean,ZS=F
2021-06-08,1571.0,1597.5,1561.5,1580.0,,141918,,,,,Soybean,ZS=F
2021-06-09,1584.25,1586.75,1550.0,1562.5,,117025,,,,,Soybean,ZS=F
2021-06-10,1562.5,1576.5,1537.25,1544.0,,144526,,,,,Soybean,ZS=F
2021-06-11,1544.5,1551.25,1496.5,1508.5,,155417,,,,,Soybean,ZS=F
2021-06-14,1504.25,1504.25,1455.0,1472.25,,106170,,,,,Soybean,ZS=F
2021-06-15,1483.5,1488.25,1460.0,1465.75,,103081,,,,,Soybean,ZS=F
2021-06-16,1468.25,1475.0,1442.5,1448.5,,74804,,,,,Soybean,ZS=F
2021-06-17,1443.0,1450.0,1323.5,1329.75,,121978,,,,,Soybean,ZS=F
2021-06-18,1330.75,1408.25,1330.75,1396.0,,100857,,,,,Soybean,ZS=F
2021-06-21,1374.0,1422.5,1370.0,1415.0,,64081,,,,,Soybean,ZS=F
2021-06-22,1420.0,1427.25,1393.25,1394.5,,67595,,,,,Soybean,ZS=F
2021-06-23,1392.0,1406.75,1381.0,1385.0,,65951,,,,,Soybean,ZS=F
2021-06-24,1382.5,1385.0,1345.75,1371.25,,57347,,,,,Soybean,ZS=F
2021-06-25,1369.5,1384.75,1325.75,1329.75,,97444,,,,,Soybean,ZS=F
2021-06-28,1329.75,1365.5,1326.0,1357.0,,51276,,,,,Soybean,ZS=F
2021-06-29,1370.0,1372.5,1348.0,1359.75,,20510,,,,,Soybean,ZS=F
2021-06-30,1360.0,1454.25,1336.25,1450.0,,4559,,,,,Soybean,ZS=F
2021-07-01,1450.25,1480.0,1438.0,1446.75,,2182,,,1448.0125,,Soybean,ZS=F
2021-07-02,1447.0,1465.0,1441.75,1451.75,,1542,,,1441.4125,,Soybean,ZS=F
2021-07-06,1420.0,1420.0,1353.0,1363.75,,586,,,1431.5875,,Soybean,ZS=F
2021-07-07,1399.0,1402.0,1366.75,1386.5,,795,,,1421.9125,,Soybean,ZS=F
2021-07-08,1380.75,1398.75,1380.75,1390.25,,507,,,1413.3,,Soybean,ZS=F
2021-07-09,1387.5,1404.5,1387.5,1404.0,,329,,,1406.3,,Soybean,ZS=F
2021-07-12,1408.75,1432.5,1408.75,1432.5,,105,,,1402.5,,Soybean,ZS=F
2021-07-13,1436.0,1449.25,1434.0,1438.0,,172,,,1400.7875,,Soybean,ZS=F
2021-07-14,1438.0,1475.75,1438.0,1467.75,,36423,,,1400.8875,,Soybean,ZS=F
2021-07-15,1453.25,1461.0,1440.75,1447.5,,30128,,,1400.8375,,Soybean,ZS=F
2021-07-16,1449.5,1473.75,1444.0,1454.75,,31628,,,1407.0875,,Soybean,ZS=F
2021-07-19,1475.0,1480.0,1426.25,1428.0,,24475,,,1408.6875,,Soybean,ZS=F
2021-07-20,1434.25,1452.75,1429.25,1443.5,,33664,,,1410.1125,,Soybean,ZS=F
2021-07-21,1449.25,1451.5,1428.75,1439.25,,21426,,,1412.35,,Soybean,ZS=F
2021-07-22,1439.75,1440.25,1391.25,1416.25,,30714,,,1413.9125,,Soybean,ZS=F
2021-07-23,1418.25,1419.75,1396.0,1401.0,,23499,,,1415.4,,Soybean,ZS=F
2021-07-26,1405.0,1415.5,1380.0,1412.75,,25875,,,1419.55,,Soybean,ZS=F
2021-07-27,1419.25,1442.75,1412.5,1418.25,,22129,,,1422.6125,,Soybean,ZS=F
2021-07-28,1422.75,1435.75,1410.5,1432.0,,21549,,,1426.225,,Soybean,ZS=F
2021-07-29,1431.75,1449.75,1427.75,1434.25,,17953,,,1425.4375,,Soybean,ZS=F
2021-07-30,1435.0,1441.0,1405.75,1414.75,,2967,,,1423.8375,,Soybean,ZS=F
2021-08-02,1419.25,1425.5,1404.0,1418.75,,1153,,,1422.1875,,Soybean,ZS=F
2021-08-03,1409.0,1412.0,1380.5,1392.25,,2286,,,1423.6125,,Soybean,ZS=F
2021-08-04,1390.25,1406.5,1390.25,1403.5,,2841,,,1424.4625,,Soybean,ZS=F
2021-08-05,1403.5,1415.0,1393.5,1402.5,,1246,,,1425.075,,Soybean,ZS=F
2021-08-06,1398.5,1422.25,1398.5,1422.25,,957,,,1425.9875,,Soybean,ZS=F
2021-08-09,1426.0,1443.75,1418.5,1433.75,,446,,,1426.05,,Soybean,ZS=F
2021-08-10,1439.5,1460.75,1439.5,1447.5,,812,,,1426.525,,Soybean,ZS=F
2021-08-11,1448.5,1466.0,1403.0,1405.5,,285,,,1423.4125,,Soybean,ZS=F
2021-08-12,1411.0,1428.75,1394.75,1401.5,,37,,,1421.1125,,Soybean,ZS=F
2021-08-13,1408.75,1434.5,1408.75,1424.25,,20560,,,1419.5875,1431.775,Soybean,ZS=F
2021-08-16,1373.25,1385.5,1367.75,1376.0,,13440,,,1416.9875,1427.62,Soybean,ZS=F
2021-08-17,1379.5,1386.5,1365.0,1369.0,,12021,,,1413.2625,1423.795,Soybean,ZS=F
2021-08-18,1370.0,1372.75,1352.75,1358.25,,10179,,,1409.2125,1419.36,Soybean,ZS=F
2021-08-19,1358.0,1358.0,1316.75,1323.0,,17626,,,1404.55,1414.57,Soybean,ZS=F
2021-08-20,1324.25,1337.25,1281.5,1293.75,,18268,,,1399.1875,1409.565,Soybean,ZS=F
2021-08-23,1293.0,1311.75,1290.5,1294.0,,13922,,,1393.25,1405.275,Soybean,ZS=F
2021-08-24,1301.25,1343.5,1294.25,1337.0,,25598,,,1389.1875,1402.57,Soybean,ZS=F
2021-08-25,1337.0,1355.5,1329.0,1346.0,,24442,,,1384.8875,1400.175,Soybean,ZS=F
2021-08-26,1345.0,1373.75,1341.5,1367.5,,23771,,,1381.55,1398.555,Soybean,ZS=F
2021-08-27,1364.25,1368.25,1324.0,1359.25,,16506,,,1378.775,1399.145,Soybean,ZS=F
2021-08-30,1357.25,1359.25,1297.0,1304.75,,7248,,,1373.075,1397.32,Soybean,ZS=F
2021-08-31,1310.0,1312.75,1293.0,1298.75,,1682,,,1368.4,1394.995,Soybean,ZS=F
2021-09-01,1291.5,1291.5,1272.5,1277.75,,663,,,1362.1125,1392.66,Soybean,ZS=F
2021-09-02,1275.5,1284.0,1269.25,1279.25,,354,,,1355.95,1390.545,Soybean,ZS=F
2021-09-03,1290.5,1290.5,1283.0,1283.0,,62,,,1348.9875,1388.78,Soybean,ZS=F
2021-09-07,1288.0,1292.0,1268.75,1268.75,,31,,,1340.7375,1387.56,Soybean,ZS=F
2021-09-08,1270.75,1272.25,1269.5,1270.75,,30,,,1331.9,1385.835,Soybean,ZS=F
2021-09-09,1260.0,1267.25,1258.0,1258.75,,175,,,1324.5625,1383.815,Soybean,ZS=F
2021-09-10,1261.25,1280.5,1259.0,1275.25,,49,,,1318.25,1380.32,Soybean,ZS=F
2021-09-13,1271.75,1272.5,1271.75,1272.5,,22,,,1310.6625,1376.835,Soybean,ZS=F
2021-09-14,1283.5,1283.5,1276.5,1276.5,,72169,,,1305.6875,1373.33,Soybean,ZS=F
2021-09-15,1283.5,1296.0,1276.0,1294.5,,91389,,,1301.9625,1371.945,Soybean,ZS=F
2021-09-16,1296.5,1308.0,1291.25,1296.0,,75853,,,1298.85,1370.135,Soybean,ZS=F
2021-09-17,1295.5,1298.5,1278.25,1284.0,,72388,,,1296.9,1368.01,Soybean,ZS=F
