date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-06-17,205440.0,207560.0,204100.0,206150.0,,47988,,,,,Tin,SN0
2021-06-18,203500.0,204930.0,200160.0,201230.0,,96022,,,,,Tin,SN0
2021-06-21,201230.0,201230.0,196260.0,199510.0,,108750,,,,,Tin,SN0
2021-06-22,199510.0,202880.0,198220.0,202350.0,,72887,,,,,Tin,SN0
2021-06-23,201350.0,208190.0,201340.0,207830.0,,80038,,,,,Tin,SN0
2021-06-24,207830.0,209880.0,206820.0,208340.0,,73002,,,,,Tin,SN0
2021-06-25,209600.0,211320.0,208070.0,209900.0,,77193,,,,,Tin,SN0
2021-06-28,210100.0,213550.0,208010.0,209090.0,,95971,,,,,Tin,SN0
2021-06-29,211190.0,211930.0,209130.0,210720.0,,63473,,,,,Tin,SN0
2021-06-30,210720.0,214840.0,210150.0,214620.0,,71849,,,,,Tin,SN0
2021-07-01,214620.0,214990.0,211050.0,211790.0,,82248,,,,,Tin,SN0
2021-07-02,211800.0,213060.0,210450.0,211550.0,,62259,,,,,Tin,SN0
2021-07-05,212690.0,216860.0,211650.0,215670.0,,79585,,,,,Tin,SN0
2021-07-06,215670.0,219550.0,215670.0,219220.0,,81810,,,,,Tin,SN0
2021-07-07,218600.0,218600.0,213950.0,216340.0,,88683,,,,,Tin,SN0
2021-07-08,216340.0,217600.0,214830.0,216850.0,,63932,,,,,Tin,SN0
2021-07-09,216660.0,219490.0,214930.0,219300.0,,65431,,,,,Tin,SN0
2021-07-12,219710.0,219980.0,216320.0,216860.0,,53170,,,,,Tin,SN0
2021-07-13,218000.0,222040.0,217580.0,221070.0,,71360,,,,,Tin,SN0
2021-07-14,221060.0,221070.0,218170.0,220670.0,,57204,,,211953.0,,Tin,SN0
2021-07-15,221420.0,223350.0,219400.0,222590.0,,61187,,,212775.0,,Tin,SN0
2021-07-16,222600.0,238580.0,221710.0,228260.0,,86934,,,214126.5,,Tin,SN0
2021-07-19,228260.0,234890.0,227700.0,233000.0,,97622,,,215801.0,,Tin,SN0
2021-07-20,231000.0,231000.0,225500.0,228210.0,,71618,,,217094.0,,Tin,SN0
2021-07-21,228450.0,230430.0,223600.0,225500.0,,58593,,,217977.5,,Tin,SN0
2021-07-22,226000.0,226570.0,224750.0,226230.0,,38256,,,218872.0,,Tin,SN0
2021-07-23,227100.0,236210.0,227100.0,235400.0,,60779,,,220147.0,,Tin,SN0
2021-07-26,233620.0,235790.0,229770.0,231100.0,,78612,,,221247.5,,Tin,SN0
2021-07-27,233040.0,237060.0,230300.0,231900.0,,101554,,,222306.5,,Tin,SN0
2021-07-28,231900.0,232440.0,229170.0,231310.0,,71312,,,223141.0,,Tin,SN0
2021-07-29,231600.0,233760.0,228110.0,233160.0,,79720,,,224209.5,,Tin,SN0
2021-07-30,233160.0,235010.0,231110.0,233550.0,,83627,,,225309.5,,Tin,SN0
2021-08-02,234560.0,236790.0,231270.0,234100.0,,109011,,,226231.0,,Tin,SN0
2021-08-03,234100.0,235280.0,228980.0,229290.0,,90883,,,226734.5,,Tin,SN0
2021-08-04,228600.0,230400.0,226380.0,229580.0,,69431,,,227396.5,,Tin,SN0
2021-08-05,228120.0,231690.0,227820.0,229030.0,,83751,,,228005.5,,Tin,SN0
2021-08-06,230520.0,231500.0,229120.0,229950.0,,61116,,,228538.0,,Tin,SN0
2021-08-09,229300.0,232490.0,228500.0,229020.0,,74667,,,229146.0,,Tin,SN0
2021-08-10,229000.0,236980.0,228120.0,236720.0,,93622,,,229928.5,,Tin,SN0
2021-08-11,237020.0,239870.0,236020.0,238400.0,,75732,,,230815.0,,Tin,SN0
2021-08-12,238410.0,243990.0,238400.0,242070.0,,80292,,,231789.0,,Tin,SN0
2021-08-13,241000.0,241160.0,236420.0,238440.0,,77517,,,232298.0,,Tin,SN0
2021-08-16,238440.0,239480.0,235930.0,237670.0,,54256,,,232531.5,,Tin,SN0
2021-08-17,238100.0,244900.0,238100.0,243410.0,,70326,,,233291.5,,Tin,SN0
2021-08-18,242990.0,244150.0,240750.0,241850.0,,63511,,,234109.0,,Tin,SN0
2021-08-19,240980.0,243560.0,239260.0,240760.0,,76322,,,234835.5,,Tin,SN0
2021-08-20,228130.0,234330.0,225580.0,231990.0,,131473,,,234665.0,,Tin,SN0
2021-08-23,231990.0,234640.0,229900.0,233280.0,,74852,,,234774.0,,Tin,SN0
2021-08-24,235180.0,237590.0,233720.0,236800.0,,48519,,,235019.0,,Tin,SN0
2021-08-25,237510.0,241700.0,236650.0,240440.0,,50856,,,235475.5,224841.4,Tin,SN0
2021-08-26,240440.0,244750.0,240370.0,240600.0,,53794,,,235847.5,225530.4,Tin,SN0
2021-08-27,241860.0,244240.0,240150.0,243520.0,,51937,,,236346.0,226376.2,Tin,SN0
2021-08-30,241350.0,245380.0,239330.0,244850.0,,80262,,,236883.5,227283.0,Tin,SN0
2021-08-31,244850.0,248480.0,244650.0,246910.0,,75918,,,237764.5,228174.2,Tin,SN0
2021-09-01,248530.0,249230.0,244700.0,245620.0,,70446,,,238566.5,228930.0,Tin,SN0
2021-09-02,245000.0,249200.0,244420.0,248990.0,,67067,,,239564.5,229743.0,Tin,SN0
2021-09-03,247970.0,248180.0,244000.0,244530.0,,64932,,,240293.5,230435.6,Tin,SN0
2021-09-06,244530.0,248150.0,242810.0,244460.0,,78531,,,241065.5,231143.0,Tin,SN0
2021-09-07,244460.0,245450.0,243340.0,244070.0,,51277,,,241433.0,231810.0,Tin,SN0
2021-09-08,244480.0,248130.0,241500.0,244000.0,,91501,,,241713.0,232397.6,Tin,SN0
2021-09-09,245210.0,251750.0,244700.0,250740.0,,79455,,,242146.5,233176.6,Tin,SN0
2021-09-10,250870.0,256960.0,250660.0,254770.0,,85194,,,242963.0,234041.0,Tin,SN0
2021-09-13,254770.0,260460.0,254580.0,255470.0,,89563,,,243853.0,234837.0,Tin,SN0
2021-09-14,255950.0,257730.0,252710.0,253720.0,,70711,,,244368.5,235527.0,Tin,SN0
2021-09-15,254280.0,256650.0,251810.0,256360.0,,74484,,,245094.0,236327.4,Tin,SN0
2021-09-16,256140.0,261420.0,255290.0,259110.0,,79507,,,246011.5,237172.6,Tin,SN0
2021-09-17,259290.0,262710.0,257000.0,260300.0,,67615,,,247427.0,237992.6,Tin,SN0
2021-09-22,259190.0,277290.0,258050.0,277000.0,,62278,,,249613.0,239195.4,Tin,SN0
2021-09-23,274740.0,278500.0,271680.0,277520.0,,87058,,,251649.0,240324.4,Tin,SN0
2021-09-24,276820.0,287960.0,274780.0,282400.0,,104448,,,253747.0,241559.0,Tin,SN0
2021-09-27,282900.0,290510.0,269530.0,270340.0,,95603,,,255234.0,242514.0,Tin,SN0
2021-09-28,268810.0,271480.0,267510.0,269800.0,,87611,,,256548.0,243344.8,Tin,SN0
