date,open,high,low,close,aggregate_open_interest,aggregate_volume,cot_commercial_net,specs_positioning,ma20,ma50,commodity,ticker
2021-07-12,610.75,635.0,604.5,635.0,,30,,,,,Wheat,ZW=F
2021-07-13,636.5,639.5,626.0,628.75,,56,,,,,Wheat,ZW=F
2021-07-14,645.0,645.0,645.0,645.0,,60001,,,,,Wheat,ZW=F
2021-07-15,653.75,673.5,651.25,672.0,,56836,,,,,Wheat,ZW=F
2021-07-16,671.75,696.25,670.75,692.5,,75887,,,,,Wheat,ZW=F
2021-07-19,702.75,709.5,694.25,697.75,,74215,,,,,Wheat,ZW=F
2021-07-20,698.75,718.0,698.25,700.5,,64013,,,,,Wheat,ZW=F
2021-07-21,701.0,712.0,700.0,710.75,,52745,,,,,Wheat,ZW=F
2021-07-22,708.25,709.0,681.75,692.25,,63077,,,,,Wheat,ZW=F
2021-07-23,688.0,696.75,677.5,684.0,,42541,,,,,Wheat,ZW=F
2021-07-26,684.0,684.0,665.5,677.0,,43684,,,,,Wheat,ZW=F
2021-07-27,680.25,690.0,671.75,674.5,,50027,,,,,Wheat,ZW=F
2021-07-28,675.0,696.25,673.75,688.75,,49232,,,,,Wheat,ZW=F
2021-07-29,689.75,706.75,689.0,705.25,,45524,,,,,Wheat,ZW=F
2021-07-30,705.0,711.5,695.0,703.75,,53644,,,,,Wheat,ZW=F
2021-08-02,704.0,731.75,704.0,729.5,,62786,,,,,Wheat,ZW=F
2021-08-03,727.5,734.75,717.75,724.5,,73891,,,,,Wheat,ZW=F
2021-08-04,724.25,738.75,714.5,717.25,,75455,,,,,Wheat,ZW=F
2021-08-05,714.75,725.5,709.75,712.75,,62604,,,,,Wheat,ZW=F
2021-08-06,712.75,724.75,709.25,719.0,,85120,,,690.5375,,Wheat,ZW=F
2021-08-09,719.0,723.75,708.25,711.25,,84297,,,694.35,,Wheat,ZW=F
2021-08-10,711.0,730.0,708.5,727.0,,85502,,,699.2625,,Wheat,ZW=F
2021-08-11,726.75,732.25,718.75,727.0,,98740,,,703.3625,,Wheat,ZW=F
2021-08-12,724.0,762.0,723.0,753.5,,109432,,,707.4375,,Wheat,ZW=F
2021-08-13,753.0,774.75,747.5,762.25,,87099,,,710.925,,Wheat,ZW=F
2021-08-16,762.5,770.25,757.75,760.5,,62047,,,714.0625,,Wheat,ZW=F
2021-08-17,762.5,763.75,732.25,734.5,,63610,,,715.7625,,Wheat,ZW=F
2021-08-18,734.25,740.5,721.75,737.25,,33614,,,717.0875,,Wheat,ZW=F
2021-08-19,737.0,737.0,716.0,727.5,,37059,,,718.85,,Wheat,ZW=F
2021-08-20,727.5,732.75,709.25,714.25,,37208,,,720.3625,,Wheat,ZW=F
2021-08-23,712.75,730.75,710.25,719.75,,21092,,,722.5,,Wheat,ZW=F
2021-08-24,722.75,723.25,710.75,718.0,,28503,,,724.675,,Wheat,ZW=F
2021-08-25,718.0,719.75,704.25,711.25,,21990,,,725.8,,Wheat,ZW=F
2021-08-26,712.5,727.0,709.25,725.25,,17849,,,726.8,,Wheat,ZW=F
2021-08-27,725.75,731.25,717.75,718.5,,24916,,,727.5375,,Wheat,ZW=F
2021-08-30,720.5,728.5,707.5,708.75,,18316,,,726.5,,Wheat,ZW=F
